List,Tag,Term,Proposed Definition 1,Proposed Definition 2,Correct Examples,Incorrect Examples,Connections
Core,Bayesian Statistics,Accuracy,"Broad sense: how “close to the mark” an Estimator is. 

","Narrow sense: the expected or realized extent of Surprise on an estimation, usually about Sense State reflecting theRecognition density ","A lower-resolution camera or fMRI has lower Accuracy and thus lesser capacity to map fine scale features of stimuli. ","The true distribution was 10 +/- 1 and the person guessed 10 +/- 5, thus they had higher Accuracy. I was sure the green car was really blue; this inaccuracy was caused by the dim light. ","Accuracy is the inverse of Uncertainty "
Core,Bayesian Statistics,Ambiguity,"Broad sense: Extent to which stimuli have multiple plausible interpretations, requiring priors &/or Action for disambiguation","Narrow sense: Specific model parameter used to model Uncertainty, usually about sensory Perception . ",The noisy readings from the thermometer resulted in high Ambiguity given the Sensory input to the Agent .,"I am curious about what is inside the box, there is Ambiguity about what it might be. ","Uncertainty on Hidden State givenSensory input "
Core,Bayesian Statistics,Bayesian Inference,"As opposed to frequentist analysis, Bayesian Inference uses a specified Prior or Empirical prior to Update the distributional Posterior 

",,"Many of the key ideas of Bayesian Inference existed before Rev. Bayes, and in some cases reflect recent contributions from computational research.",The frequentist t-test is a classical example of Bayesian Inference .,"As a matter of determining the ratio of populations to sample, the following is instructive > https://aeon.co/videos/what-is-it-to-be-bayesian-the-pretty-simple-math-modelling-behind-a-big-data-buzzword"
Core,Bayesian Statistics,Belief,"Broad sense: Felt sense by an Agent of something being true, or confidence it is the case.","Narrow sense: the State of a Random variable in a Bayesian Inference scheme.

",The Prior or Empirical prior in Bayesian Inference can be a Belief on Hidden State .,"A Belief in Bayesian Inference requires Subjective feeling states or conscious awareness. ","A Belief is the most likely Hypothesis that provides an Explanation for the cause of Sense State, where a cause here is a Hidden State of the Generative Process."
Core,Bayesian Statistics,Belief updating,"Belief updating is changes in a Bayesian Inference Belief through time. ",,"The incoming Sensory Data resulted in Belief updating  ","I promise that if you vote for me, even if I change my mind due to new Information  coming in, I will never undergo Belief updating — so you know exactly what you get with me! ",In belief updating the Prior is altered to reflect incoporation of new Evidence presented to the model from the Generative Process.
Core,Bayesian Statistics,Expectation,"Within a Bayesian Inference framework, Expectation is an Estimator about future timesteps ",,"At timestep 1, the Agent made a prediction about Expected Free Energy through time, this was an Expectation about the future. ","Although the scientist made a Prediction about the future using a Model , it was not an Expectation since they were not waiting for it to be realized.  ","Anticipation, Prediction, Prediction error .

"
Core,Bayesian Statistics,Inference,"Process of reaching a (local or global) conclusion within a Model, for example with Bayesian Inference.

","The process of using a Sensory observation (observed variable, data) along with a known set of parameters to determine the state of an unknown, Latent cause (unobserved variable).","The researcher made Model of Active Vision where the Agent was doing Inference on Action (Action Planning , Action Prediction ) as well as Perception (perceptual inference ). ","The ball rolled downhill using Inference on Policy selection, sometimes veering more to the left and other times more to the right.  ","Action (more generally) and  perceptual inference and Bayesian Inference (more specifically).  "
Core,Bayesian Statistics,Learning,"Broad sense: Process of an Agent engaged in Updates to Cognition (and possibly) Behavior.

","Narrow sense: Process of Bayesian Inference where Generative Model parameters undergo   Belief updating ","The software agent engaged in Belief updating on internal parameters, this is technically Learning . ","Every day we change, but from a Bayesian Inference perspective it is only Learning if the Belief updating is adaptive. ","Learning model parameters is called parameter estimation and is obtained by using Sensory observations and previously inferred Hidden State. In Bayesian Inference parameters are treated as Random variables. "
Core,Bayesian Statistics,Outcome,"If we consider the environment as a Generative Process that can be sampled when in a particular state, the statistical result (Data, Sensory observation) of the sampling is known as the outcome.",The Data produced by sampling a Generative Process (a joint distribution on states and outcomes).,The Generative Process produces outcomes when we sample from it.,I was worried about the Outcome of my decision.,"Generative modelling involves using outcomes to approximate a statistical model of the Generative Process. "
Core,Bayesian Statistics,Posterior,"The Update to the Prior after Observation has occurred ","In Bayes’ theorem, the Posterior is equal to the product of the Likelihood and Prior divided by the model evidence.","The Posterior distribution reflects our degrees of Belief about Latent causes after we see Sensory Data. ",The Posterior distribution can always be trivially obtained by solving Bayes’ theorem.,"Solving an Inverse problem to go from Outcomes given a State determining a State given an Outcome. In representation learning the Posterior is called the Recognition Model since it “recognizes” the Latent cause that underlie the generation of the Sensory outcomes.  "
Core,Bayesian Statistics,Prediction,"An Estimator about a State in a Model at a future time.   ",The process of using a learned Generative Model to forecast what value a future Hidden State will be.,After successfully Learning the structure of the Generative Process  the Agent can make a Prediction about the future state of this Generative Process and the associated Sensory Data it will generate.,A magic 8-ball can make a Prediction that will reliably be true.,The top-down priors aim at Prediction the incoming Sensory Data based on what the Agent has learned about the environment. An incorrect Prediction results in a Prediction error which the Agent attempts to minimize in the long run in the process of Prediction error minimization.
Core,Bayesian Statistics,Prior,"The initial or preceding state of a Belief in Bayesian Inference, before Sensory Data (Observation or Evidence ) occurs. ",,Active Vision uses Prior on Sensory input .,We arrested someone with no Priors.,"In the Active Inference (Continuous state space formulation), the Prior is represented by a Stochastic State space equation which represents the Agent‘s belief about how the Hidden State in the environment change over time."
Core,Bayesian Statistics,State,"is the statistical, computational, or mathematical value for a parameter within the State space of a Model . ",,"Blanket State is a type of State that partition Internal State from External State ","California is the State with the best honey on the West Coast. ","111. Situation, Condition, State (from here)

The words, situation and condition, imply, something accidental, and transitory; with this difference, that situation, respects outward circumstances; condition, those, within the matter referred to; whereas, that of state,implies, something, more habitual, and lasting.

We, generally, use the word, situation, as relative, to affairs, rank or fortune; condition, with respect, to the nature, quality or property of a thing; and that, of state, applying it to health, or, our well or ill-being.

We say, our situation is bad; when we are surrounded with difficulties: that a building is in bad condition; when out of repair; and, that some persons enjoy but an indifferent state of health.

An ill-state of health, added to a bad situation of affairs, is a condition, into which, every man must, naturally, dread the falling.

Such is the condition, and vicissitude of human life, that, the most prudent men, have, often, found themselves in perplex|ing situations; and from a state of happiness, have, as it were, through the perverseness of fortune, fallen into one most wretched and deplorable."
Core,Bayesian Statistics,Stationarity,"Of a Random variable , that it is described by parameters that are drawn from a  Gaussian distribution and unchanging over the time horizon of analysis. ",,A common assumption of many time series algorithms is that the data exhibits Stationarity.,I am exhibiting Stationarity when I stop walking.,"A common assumption in many time series techniques is that the data are at Stationarity .

A stationary process has the property that the mean, variance and autocorrelation structure do not change over time. Stationarity can be defined in precise mathematical terms, but for our purpose we mean a flat looking series, without trend, constant variance over time, a constant autocorrelation structure over time and no periodic fluctuations (seasonality).

For practical purposes, stationarity can usually be determined from a run sequence plot.

https://www.itl.nist.gov/div898/handbook/pmc/section4/pmc442.htm"
Core,Bayesian Statistics,Surprise,"In Bayesian Inference, Surprise is the negative log evidence, directly corresponding to the inverse of probability (high probability, low surprisal; low probability, high surprisal). The proxy that bounds surprisal is the difference between Prior and Posterior Distribution — how “surprising” Sensory Data are to the Generative Model of the Agent.","Surprise (also known as Surprisal or self-Information), is a quantity that, according to the Free Energy Principle, must be minimized in order for an Agent to survive; Variational Free Energy provides an upper bound on Surprisal and is minimized instead of minimizing Surprisal directly.

",Surprisal cannot be minimized directly because it is involves calculating the Evidence term in Bayes’ Rule which generally involves an intractable integral over all possible states an organism can be in.,"When they walk into the room, yell “Surprise“! ",An organism that minimizes Surprisal can maintain Non-Equilibrium Steady State and will consistently revisit an Attracting set of states. Minimizing Surprisal is equivalent to maximizing model evidence.
Core,Bayesian Statistics,Temporal Depth,"The length of a time window or horizon considered (longer time → deeper / more Temporal Depth ) ",,"In deep temporal models, Temporal Depth or occurs because of the number of Counterfactual possibilities one must account for increases as more future states are modeled (see: https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00579/full)","The longer the queue, the greater the Temporal Depth.","From Breaking down unitization: Is the whole greater than the sum of its parts?  “Depth” as a measured difference applied to change (time passing) as Memory and Cognition . “Graf and Schacter (1989) first described unitization as the process whereby multiple, separate, items become represented as a single unit, either through perceiving or conceiving of a structure (e.g., semantic meaning) that would connect the disparate units.”  Which leaves us with at least two ways of “structuring” time units (episodes and cycles (diachronic))."
Core,Bayesian Statistics,Uncertainty,"In Bayesian Inference , a measure of the Expectation of Surprise (Entropy) of a Random variable (associated with its variance or inverse Precision )",Random fluctuations around the true value of a quantity we are trying to measure that are a result of uncontrolled variables in the environment or measurement apparatus.,"A measure of unpredictability or expected Surprise (cf, Entropy ). The Uncertainty  about a Random variable  is often quantified with its Variance  (inverse Precision ).",I felt a lot of Uncertainty after that job interview.,"From Basics of Estimating Measurement Uncertainty https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2556585/There is a table of terminology of the science of measurement (metrology) that includes common metrological terms and their definitions, all of which recognize that making measurement comparisons leads to some degree of measurement uncertainty. "
Core,Action,Action,"Broad sense: The dynamics, mechanisms, and measurements of Behavior ","Narrow sense: The sequence of Active States  enacted by an Agent  via Policy selection from Affordance ","Ants are continually involved in Action in real life (Realism) and/or in a Model (Instrumentalism) ","I love this band’s first song, can’t wait till the Action really begins! ","Action of the Agent is selected by Action Planning . As the consequences of Action are not fully known, the Expected Free Energy  is calculated over Affordance and used for Variational Free Energy Action and Planning as Divergence Minimization "
Core,Action,Action Planning,"The selection of an Affordance based upon Inference of Expected Free Energy ",,"The robot assessed its current and target location, then engaged in Action Planning to decide under time pressure how to navigate.","The Agent used Action Planning algorithms for Variational Free Energy Inference  on Sensory input ","Action Planning draws from set of Affordances and uses Expected Free Energy Inference, also known as Action Prediction ."
Core,Action,Action Prediction,Inference on current and future Expectation  of Action,,"The Generative Model over the next few timesteps with respect to Active States , is the Action Prediction .","The Agent inferred what Affordances it had, this process is known as Action Planning or Action Prediction .","Action Prediction is an enabling factor for Action Planning  and Policy selection "
Core,Action,Agency,"The ability of an Agent to engage in Action in their Niche and enact Goal-driven selection or Policy selection  based upon Preference ",,An Agent uses their Agency to sculpt their environment which makes it more predictable thereby minimizing the agent’sVariational Free Energy and maintaining its Markov Blanket in the face of random fluctuations.,I got a new picture taken at the passport Agency.,Agent has Agency
Core,Action,Behavior,The sequence of Action that an Agent is observed to enact.,,The Active Inference Agent uses its selected Policy to take Action that we call its Behavior.,I expect you to be on your best Behavior!,
Core,Action,Policy,"Sequence of Actions, reflected by series of Active States as implemented in Policy selection which is Action Prediction or Action and Planning as Divergence Minimization ",,"The sequence of Actions that an Agent plans to take is a Policy. ",What insurance Policy do you recommend for my house?,"Policy selection in Active Inference is about Prediction error minimization or minimization of Expected Free Energy "
Core,Action,Policy selection,"The process of an Agent engaging in Action Planning from set of Affordance, in Active Inference based upon minimization of Expected Free Energy ",,,,"Similar to Decision-making "
