List,Term,German,Russian,Portuguese,Spanish,French,Italian,Hebrew,Czech,Persian,Let us know what to add!
Core,Accuracy,Genauigkeit,Точность,Acurácia,Precisión,l'éxactitude,Accuratezza,דיוק,přesnost,درستی,
Core,Action,,Действие,Ação,Acción,une action / une mesure,Azione,פעולה,akce,کُنش,
Core,Action Planning,,Планирование действий,Planejamento de Ação,Planeamiento de Acción,plannification des mesures/actions,Piano d'azione,תכנון פעולה,plánování akce,برنامه‌ریزی کُنش,
Core,Action Prediction,,Прогнозирование действий,Predição de Ação,Predicción de Acción,prédiction (f) d'action; prédiction (f) d'actions,Predire l'azione,חיזוי פעולה,předpověď akce,پیش‌بینی کُنش,
Core,Active Inference,,Активное обновление,Inferência Ativa,Inferencia Activa,inférence (f) active,Inferenza attiva,הסקה פעילה,aktivní inference,استنباط کُنش‌گر,
Core,Active States,,Активные состояния,Estados Ativos,Estados activos,etats actifs,stati attivi,מצבים פעילים,aktivní stavy,حالت‌های فعال,
Core,Affordance,,Возможность,Affordance,Affordance,affordance,convenienza,אפשרויות זמינות,prostředek,بضاعت (داراک),
Core,Agency,,Агентность,Agência,Agencia,une Agence,rappresentanza,סוכנות,agentura,کُنش‌گری,
Core,Agent,,Агент,Agente,Agente,un agent,Agente,סוכן,agent,کُنش‌گر,
Core,Ambiguity,,Неопределённость,Ambiguidade,Ambiguedad,l'ambiguïté,Ambiguità,אי ודאות,nejednoznačnost,ابهام,
Core,Attention,Aufmerksamkeit,Внимание,Atenção,Atención,attention/intéret,Attenzione,תשומת לב,pozornost,توجه,
Core,Bayesian Inference,bayessches Schlussfolgern,Байесовское обновление,Inferência Bayesiana,Inferencia Bayesiana,Inférence bayésienne,Inferenza Bayesiana,הסקה בייסיאנית,Bayesovská inference,استنباط بیزی,
Core,Behavior,,Поведение,Comportamento,Comportamiento,comportement,Comportamento,התנהגות,chování,رفتار,
Core,Belief,Glaube,Убеждение,Crença,Creencia,une conviction/croyance,Credenza,אמונה,přesvědčení,باور,
Core,Belief updating,,Корректирование предположений,Atualização de Crença,Actualización de creencia,mise à jour des convictions,aggiornamento della credenza,עדכון אמונות,aktualizace přesvědčení,به‌روزرسانی باور,
Core,Blanket State,,Состояния ограждения,Estados encobertos,Estados Encubiertos,états (n) couvertes; états (n) secrets ???,,מצבים כסויים,stav obalu,حالت‌های پوششی,
Core,Cognition,,Познание,Cognição,Cognición,La cognition,cognizione,קוגניציה,poznávání,شناخت,
Core,Complexity,Komplexität,Сложность,Complexidade,Complejidad,la complexité,Complessità,מורכבות,složitost,پیچیدگی,
Core,Cue,,Указатель,Pista,Señal,Repère,spunto,רמז,nápověda,اشارتگر (نشانه),
Core,Culture,Kultur,Культура,Cultura,Cultura,La culture,Cultura,תרבות,kultura,فرهنگ,
Core,Data,Daten,Данные,Data/Dados,Data (Datos),Data,Dato,נתנים,data,داده,
Core,Ensemble,,Ансамбль,"Conjunto ",Conjunto,ensemble (m),tutti insieme,אוסף,soubor,گروه,
Core,Epistemic value,der epistemische Wert,Эпистемическая ценность,o valor epistêmico,el valor epistémico," la valeur épistémique",valore epistemico,ערך הידע,epistemická hodnota,ارزش شناختی,
Core,Evidence,Beweis,Свидетельство,Evidência,Evidencia,Preuve,prova,ראייה,důkaz,گواه,
Core,Expectation,,Ожидание,Expectativa,Expectativas,attente (m),Aspettativa,,očekávání,چشم‌داشت,
Core,Expected Free Energy,,Ожидаемая свободная энергия,Energia Livre Esperada,Energía Libre esperada,énergie (f) libre attendue; énergie (f) libre espérée,,תוחלת האנרגיה החופשית,očekávaná volná energie,انرژی آزاد چشم‌داشته,
Core,External State,,Внешние состояния,Estados Externos,estados externos,états (m) externes; états (m) extérieurs; états (m) externes,stati esterni,מצבים חיצוניים,vnější stavy,حالت بیرونی,
Core,Free Energy,freie Energie,Свободная энергия,Energia Livre,"Energía libre ",énergie libre,Energia Libera,אנרגיה חופשית,volná energie,انرژی آزاد,
Core,Free Energy Principle,,Принцип свободной энергии,Princípio da Energia Livre,Principio de la Energía libre,Pricipe de l'énergie libre,"Principio della Energia Libera
",עקרון האנרגיה החופשית,princip volné energie,اصل انرژی آزاد,
Core,Friston Blanket,,Фристоновское ограждение,Cobertor de Friston,La Manta de Friston,couverture (f) Friston,,שמיכת פריסון,Fristonův obal,پوشش فریستون,
Core,Generalized Free Energy,,Обобщенная свободная энергия,Energia Livre Generalizada,Energía libre generalizada,énergie (f) libre généralisée,,אנרגיה כללית מוכללת,obecná volná energie,انرژی آزاد تعمیم‌یافته,
Core,Generative Model,das generatives Modell,Порождающая модель,o Modelo Generativo,el modelo generativo,le modèle génératif,il modello generativo,מצב גנרטיבי,generativní model,مدل زایا,
Core,Generative Process,,Порождающий процесс,Processo Generativo,Proceso generativo,processus (m) génératif,processo generativo,תהליך גנרטיבי,generativní proces,فرآیند زایا,
Core,Hidden State,,Скрытое состояние,Estados Ocultos,Estados ocultos,états (m) cachés; étés (m) cachés,stati nascosti,מצב חבוי,skryté stavy,حالت‌های پنهان,
Core,Hierarchical Model,,Многоуровневая модель,Modelo Hierárquico,Modelo jerárquico,modèle (m) hiérarchique,Modello gerarchico,מודל היררכי,hierarchický model,مدل پایگانی,
