List	Term	Russian	Portuguese	Spanish	French	Italian	Hebrew	Czech
Core	Epistemic value	Эпистемическая ценность	o valor epistêmico	el valor epistémico	la valeur épistémique	valore epistemico	ערך הידע	epistemická hodnota
Core	Non-Equilibrium Steady State	Неравновесное устойчивое состояние	Estado de Equilíbrio não Estacionário	el estado de equilibrio no estacionario; el estado estacionario no equilibrado	(m) l'état d'équilibre non équilibré	il stato di equilibrio non-stazionario	מצב יציב שלא בשווי משקל	nerovnovážný ustálený stav
Core	State space	Пространство состояний	o espaço de estados	el espacio de estado	(m) l’espace d'état; l'espace des phases	il condizone dello spazio; il spazio di stato	מרחב מצבים	stavový prostor
Core	Affordance	Возможность	Affordance	Affordance	affordance	convenienza	אפשרויות זמינות	prostředek
Core	Learning	Активное обучение	Aprendizagem Ativa	Aprendizaje Activo	apprentissage (m) actif	Apprendimento attivo	למידה פעילה	aktivní učení
Core	Expectation	Ожидание	Expectativa	Expectativas	attente (m)	Aspettativa		očekávání
Core	Attention	Внимание	Atenção	Atención	attention/intéret	Attenzione	תשומת לב	pozornost
Core	Behavior	Поведение	Comportamento	Comportamiento	comportement	Comportamento	התנהגות	chování
Core	Friston Blanket	Фристоновское ограждение	Cobertor de Friston	La Manta de Friston	couverture (f) Friston		שמיכת פריסון	Fristonův obal
Core	Data	Данные	Data/Dados	Data (Datos)	Data	Dato	נתנים	data
Core	Expected Free Energy	Ожидаемая свободная энергия	Energia Livre Esperada	Energía Libre esperada	énergie (f) libre attendue; énergie (f) libre espérée		תוחלת האנרגיה החופשית	očekávaná volná energie
Core	Generalized Free Energy	Обобщенная свободная энергия	Energia Livre Generalizada	Energía libre generalizada	énergie (f) libre généralisée		אנרגיה כללית מוכללת	obecná volná energie
Core	Variational Free Energy	Вариационная свободная энергия	Energia livre variacional	Energía libre variacional	énergie (f) libre variationnelle	Energia libera variazionale	אנרגיה חופשית משתנה	variační volná energie
Core	Free Energy	Свободная энергия	Energia Livre	Energía libre	énergie libre	Energia Libera	אנרגיה חופשית	volná energie
Core	Ensemble	Ансамбль	Conjunto	Conjunto	ensemble (m)	tutti insieme	אוסף	soubor
Core	Internal State	Внутренние состояния	Estados Internos	Estados internos	état intérieur (m); état (m) interne	stati interni	מצבים פנימיים	vnitřní stav
Core	Hidden states	Скрытое состояние	Estados Ocultos	Estados ocultos	états (m) cachés; étés (m) cachés	stati nascosti	מצב חבוי	skryté stavy
Core	External States	Внешние состояния	Estados Externos	estados externos	états (m) externes; états (m) extérieurs; états (m) externes	stati esterni	מצבים חיצוניים	vnější stavy
Core	Sense States	Сенсорные состояния	Estados Sensoriais	Estados Sensoriales	états (m) sensoriels; états (m) de sens	saliente	מצבי חישה	smyslové stavy
Core	Blanket States	Состояния ограждения	Estados encobertos	Estados Encubiertos	états (n) couvertes; états (n) secrets ???		מצבים כסויים	stav obalu
Core	Active States	Активные состояния	Estados Ativos	Estados activos	etats actifs	stati attivi	מצבים פעילים	aktivní stavy
Core	Information Geometry	Информационная геометрия	Geometria de Informação	Geometría (f) de la información	géométrie (f) de l'information	geometria dell'informazione	גיאומטריית המידע	informační geometrie
Core	Active Inference	Активное обновление	Inferência Ativa	Inferencia Activa	inférence (f) active	Inferenza attiva	הסקה פעילה	aktivní inference
Core	Inference	Вывод	Inferência	Inferencia	inférence (f); déduction (f)	Inferenza	הסקה	inference
Core	Bayesian Inference	Байесовское обновление	Inferência Bayesiana	Inferencia Bayesiana	Inférence bayésienne	Inferenza Bayesiana	הסקה בייסיאנית	Bayesovská inference
Core	Information	Информация	Informação	Información	Information	informazione	מידע	informace
Core	Ambiguity	Неопределённость	Ambiguidade	Ambiguedad	l'ambiguïté	Ambiguità	אי ודאות	nejednoznačnost
Core	Accuracy	Точность	Acurácia	Precisión	l'éxactitude	Accuratezza	דיוק	přesnost
Core	Uncertainty	Неопределенность	Incerteza	Incertidumbre	l'incertitude	Incertezza	אי ודאות	nejistota
Core	Cognition	Познание	Cognição	Cognición	La cognition	cognizione	קוגניציה	poznávání
Core	Complexity	Сложность	Complexidade	Complejidad	la complexité	Complessità	מורכבות	složitost
Core	Markov Blanket	Марковское ограждение	o Cobertor de Markov; manta de Markov; o envoltório de Markov	la manta markoviana	la couverture de Markov	la coperta di Markov	שמיכת מרקוב	Markovský obal
Core	Culture	Культура	Cultura	Cultura	La culture	Cultura	תרבות	kultura
Core	Perception	Восприятие/Воспринимание	Percepção	Percepción	la perception	Percezione	תפיסה	vjem
Core	Surprise	Сюрприз	Surpresa	Sorpresa	La surprise	Sorpresa	הפתעה	překvapení
Core	Generative model	Порождающая модель	o Modelo Generativo	el modelo generativo	le modèle génératif	il modello generativo	מצב גנרטיבי	generativní model
Core	System	Система	o sistema	el sistema	le système	Sistema	מערכת	systém
Core	Belief updating	Корректирование предположений	Atualização de Crença	Actualización de creencia	mise à jour des convictions	aggiornamento della credenza	עדכון אמונות	aktualizace přesvědčení
Core	Recognition Model	Модели распознавания	Modelos de Reconhecimento	Modelo de reconocimiento	modèle (m) de reconnaissance	modelli di ricognizione	מודלי זיהוי	model rozpoznávání
Core	Hierarchical Model	Многоуровневая модель	Modelo Hierárquico	Modelo jerárquico	modèle (m) hiérarchique	Modello gerarchico	מודל היררכי	hierarchický model
Core	Niche	Ниша	Nicho	Nicho	niche (f); créneau (m)	Nicchia	כוך/נישה	výklenek
Core	Novelty	Новизна	Novidade	Novedad	nouveauté (f)	Novità	חידוש	novota
Core	Action planning	Планирование действий	Planejamento de Ação	Planeamiento de Acción	plannification des mesures/actions	Piano d'azione	תכנון פעולה	plánování akce
Core	Posterior	Апостериорный	Posterior	Posterior	Postérieur(e/es/s)	Precedente	פוסטריור	zadní/předcházející
Core	Policy	Правила	Prática Normativa	regla (f); práctica (f) normativa; estrategia (f); política (f)	pratique normative (f); règles; politique (f); stratégie (f)	Strategia	מדיניות	zásada
Core	Action prediction	Прогнозирование действий	Predição de Ação	Predicción de Acción	prédiction (f) d'action; prédiction (f) d'actions	Predire l'azione	חיזוי פעולה	předpověď akce
Core	Preference	Предпочтение	Preferência	Preferencias	préférence (f); préféré (m)	Preferenza		přednost
Core	Evidence	Свидетельство	Evidência	Evidencia	Preuve	prova	ראייה	důkaz
Core	Free Energy Principle	Принцип свободной энергии	Princípio da Energia Livre	Principio de la Energía libre	Pricipe de l'énergie libre	Principio della Energia Libera	עקרון האנרגיה החופשית	princip volné energie
Core	Markov Decision Process	Марковский процесс принятия решений	Processo de decisão Markoviano	Proceso de decisión markoviana	processus (m) décisionnel de Markov	Processo decisional di tipo Marcoviano	תהליכי החלטה מרקוביאנים	Markovské rozhodovací procesy
Core	Generative Process	Порождающий процесс	Processo Generativo	Proceso generativo	processus (m) génératif	processo generativo	תהליך גנרטיבי	generativní proces
Core	Temporal Depth	Темпоральная глубина	Profundidade Temporal	Profundidad temporal	profondeur (f) temporelle ??	Spessore temporale	עומק טמפורלי	časová hloubka
Core	Narrative	Нарратив	Narrativa	Narrativa	récit (m); narration (f)	Narrazione	נרטיב	vyprávění
Core	Regime of Attention	Режим внимания	Regime de Atenção	Régimen de Atención	régime (m) de soins; régime (m) d'attention; régime (m) attentionnel	regime di attenzione	משטר תשומת לב	režim pozornosti
Core	Cue	Указатель	Pista	Señal	Repère	spunto	רמז	nápověda
Core	Salience	Значимость	Saliência	Saliencia	saillance (f); saillant (m)	Saliente	בולטות	salience
Core	Policy selection	Выбор правила	Seleção de prática normativa	selección (f) de la práctica normativa; selección (f) de políticas; selección (f) de política; selección (f) de reglas	sélection (f) de la pratique normative; sélection (f) de règle; sélection (f) de la stratégie; sélection (f) politique	Selezione della strategia	בחירת מדיניות	výběr zásady
Core	Stationarity	Стационарность	estacionário	Fijo or estatico	stationnarité (f); fixe (m); statique (m)	Fisso o statico		stacionarita
Core	Multi-scale system	Многомасштабная система	Sistema multiescala	Sistema multiescalar	système multi-échelle	sistema di tipo multi-scala	מודל מרובה קני מידה	vícestupňový systém
